journal	owner	name	language	license_name	has_zenodo	has_setup	has_installation_docs	has_issues	is_fork	is_formatted	is_linted	pyroma_score	commit	branch	root_scripts	date	readme_type	reference	title	github	has_github	year	license_status	has_known_license	package_status
JMLR	achab	nphc	Python		False	True	False	True	False	False	False	-1.0	44d58d4b9e693ad7629439a32d35880e11884446	master	['__init__.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-284'}	Uncovering Causality from Multivariate Hawkes Integrated Cumulants	achab/nphc	True	2018	No License	False	False
JMLR	X-DataInitiative	tick	Python	BSD-3-Clause	False	True	True	True	False	False	False	0.0	04dbb377b47783036a8343c6a61b60fc9f430dc3	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-284'}	Uncovering Causality from Multivariate Hawkes Integrated Cumulants	X-DataInitiative/tick	True	2018	Present	True	False
JMLR	hongzhoulin89	Catalyst-QNing	C++	MIT	False	False	False	True	False	True	True	-1.0	16218102bb2fca597f70bf1f2f0c1a0f8926bfe2	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-748'}	Catalyst Acceleration for First-order Convex Optimization: from Theory to Practice	hongzhoulin89/Catalyst-QNing	True	2018	Present	True	False
JMLR	slinderman	pyhawkes	Python	MIT	False	True	False	True	False	False	False	0.0	0df433a40c5e6d8c1dcdb98ffc88fe3a403ac223	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-381'}	tick: a Python Library for Statistical Learning, with an emphasis on Hawkes Processes and Time-Dependent Models	slinderman/pyhawkes	True	2018	Present	True	False
JMLR	dunan	MultiVariatePointProcess	C++		False	False	False	True	False	True	True	-1.0	a9716e036be800280800757a44a2f09f244fd7e9	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-381'}	tick: a Python Library for Statistical Learning, with an emphasis on Hawkes Processes and Time-Dependent Models	dunan/MultiVariatePointProcess	True	2018	No License	False	False
JMLR	hiroyuki-kasai	SGDLibrary	MATLAB	MIT	False	False	False	True	False	True	True	-1.0	ef992786653bf4acac7a7361801d1190fa6387ba	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-632'}	SGDLibrary: A MATLAB library for stochastic optimization algorithms	hiroyuki-kasai/SGDLibrary	True	2018	Present	True	False
JMLR	wangshusen	SketchedRidgeRegression	Python		False	True	False	True	False	False	False	-1.0	2eb5e476cf2f504ab86595ab3240ebc76d36e408	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-313'}	Sketched Ridge Regression: Optimization Perspective, Statistical Perspective, and Model Averaging	wangshusen/SketchedRidgeRegression	True	2018	No License	False	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '18/17-247'}	Improved spectral community detection in large heterogeneous networks	hafizTiomoko/improved_spectral_	True	2018	No License	False	
JMLR	nlarusstone	corels	C++	GPL-3.0	False	False	False	True	False	False	False	-1.0	3a57a7e7537f9416e5e05c0e0ae9a1202b3ae95c	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-716'}	Learning Certifiably Optimal Rule Lists for Categorical Data	nlarusstone/corels	True	2018	Present	True	False
JMLR	Hongyuy	sbrlmod	C++		False	False	False	True	False	True	True	-1.0	9cdf6c82c8eac1b199beb98d24b8afb422cd2f29	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '18/17-716'}	Learning Certifiably Optimal Rule Lists for Categorical Data	Hongyuy/sbrlmod	True	2018	No License	False	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-006'}	Can We Trust the Bootstrap in High-dimensions? The Case of Linear Models	JohnLangford/vowpal_	True	2018	No License	False	
JMLR	timdebruin	baselines-experience-selection	Python	MIT	False	True	False	False	True	False	False	5.0	0280433293cfe343bf1985aa5111208ff5b7ded1	master	['continuous_experiment_runner.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-131'}	Experience Selection in Deep Reinforcement Learning for Control	timdebruin/baselines-experience-selection	True	2018	Present	True	True
JMLR	francopestilli	life	Matlab	BSD-3-Clause	False	False	True	True	False	True	True	-1.0	9a169efb9219137c8b0b43fbf4261922d287fe36	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-361'}	Regularized Optimal Transport and the Rot Mover's Distance	francopestilli/life	True	2018	Present	True	False
JMLR	elfi-dev	elfi	Python	BSD-3-Clause	True	True	True	True	False	False	False	8.0	dcbf4c1592a44acc7ff9980c86aeb714a88737f6	dev	['scripts/MA2_run.py', 'Scripts/MA2_run.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-374'}	ELFI: Engine for Likelihood-Free Inference	elfi-dev/elfi	True	2018	Present	True	True
JMLR	ipython	ipyparallel	Jupyter Notebook	Unknown	False	True	False	True	False	False	True	9.0	40de02a317c5822d9eb68f9d8b792c958570ee9f	main	['hatch_build.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-374'}	ELFI: Engine for Likelihood-Free Inference	ipython/ipyparallel	True	2018	Unknown	False	True
JMLR	zeyiwen	thundersvm	C++	Apache-2.0	False	False	True	True	False	False	False	-1.0	5c6a056ac7f474b085d5415c81c5d48a1419642a	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-740'}	ThunderSVM: A Fast SVM Library on GPUs and CPUs	zeyiwen/thundersvm	True	2018	Present	True	False
JMLR	maziarraissi	DeepHPMs	Python	MIT	False	False	False	True	False	False	False	-1.0	7b579dbdcf5be4969ebefd32e65f709a8b20ec44	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-046'}	Deep Hidden Physics Models: Deep Learning of Nonlinear Partial Differential Equations	maziarraissi/DeepHPMs	True	2018	Present	True	False
JMLR	NaegleLab	OpenEnsembles	Jupyter Notebook	GPL-3.0	False	True	False	True	False	False	False	0.0	a1937d83baec9a33c2910101e6a5bde8e50b966f	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-100'}	OpenEnsembles: A Python Resource for Ensemble Clustering	NaegleLab/OpenEnsembles	True	2018	Present	True	False
JMLR	mrojascarulla	causal_transfer_learning	Python	BSD-2-Clause	False	False	False	True	False	False	False	-1.0	e130155d04d61a8db15cce3d82d09fc97384d206	master	['simple_example.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/16-432'}	Invariant Models for Causal Transfer Learning	mrojascarulla/causal_transfer_learning	True	2018	Present	True	False
JMLR	gathanei	xyz	C++		False	False	False	True	False	True	True	-1.0	109edb7f333d042abac971da86c6b10f57831fed	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/16-515'}	The xyz algorithm for fast interaction search in high-dimensional data	gathanei/xyz	True	2018	No License	False	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-607'}	Learning from Comparisons and Choices 	POLane16/Nucnorm-Ranking	True	2018	No License	False	
JMLR	arbenson	discrete-subset-choice	Julia		False	False	False	True	False	True	True	-1.0	a3035925d58e43760e697d783e20625ef442674b	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-607'}	Learning from Comparisons and Choices 	arbenson/discrete-subset-choice	True	2018	No License	False	False
JMLR	scikit-learn	scikit-learn	Python	BSD-3-Clause	False	True	False	True	False	False	True	0.0	f44350d45750a63969411534ecd8c6e7be21010f	main	[]	2018-01-01	rst	{'prefix': 'jmlr', 'identifier': '19/16-474'}	"Random Forests, Decision Trees, and Categorical Predictors: The ""Absent Levels"" Problem"	scikit-learn/scikit-learn	True	2018	Present	True	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-244'}	Harmonic Mean Iteratively Reweighted Least Squares for Low-Rank Matrix Recovery	rward314/IRLSM	True	2018	No License	False	
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-244'}	Harmonic Mean Iteratively Reweighted Least Squares for Low-Rank Matrix Recovery	ckuemmerle/hm	True	2018	No License	False	
JMLR	rzrsk	vaidya-walk	Jupyter Notebook		False	False	False	True	False	False	False	-1.0	9dd5d9d286c777d471d52e41123b23c95612a0be	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-158'}	Fast MCMC Sampling Algorithms on Polytopes	rzrsk/vaidya-walk	True	2018	No License	False	False
JMLR	albarji	proxTV	C++	Unknown	False	True	True	True	False	False	False	8.0	69062fe54335976e83fe9269a09d795ae37470ba	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/13-538'}	Modular Proximal Optimization for Multidimensional Total-Variation Regularization	albarji/proxTV	True	2018	Unknown	False	True
JMLR	snarles	ClassEx	R		False	False	True	True	False	True	True	-1.0	e7de975e2bd462c66a9a8f484310a6a980d2c070	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-701'}	Extrapolating Expected Accuracies for Large Multi-Class Problems	snarles/ClassEx	True	2018	No License	False	False
JMLR	paper-submissions	MaxMargin	Python	MIT	False	True	False	True	False	False	False	-1.0	4526894e15f00589707714b6808ec7a6375e8871	master	['preprocess.py', 'main.py', 'data.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-188'}	The Implicit Bias of Gradient Descent on Separable Data	paper-submissions/MaxMargin	True	2018	Present	True	False
JMLR	scikit-multiflow	scikit-multiflow	Python	BSD-3-Clause	False	True	False	True	False	False	False	0.0	d073a706b5006cba2584761286b7fa17e74e87be	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-251'}	Scikit-Multiflow: A Multi-output Streaming Framework 	scikit-multiflow/scikit-multiflow	True	2018	Present	True	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-128'}	A Note on Quickly Sampling a Sparse Matrix with Low Rank Expectation	karlrohe/fastRG	True	2018	No License	False	
JMLR	dlaptev	RobustPCA	Matlab	MIT	False	False	False	True	False	True	True	-1.0	db61a39162bc693a6e3ab404e1e680b0720d5aa8	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/17-473'}	Robust PCA by Manifold Optimization	dlaptev/RobustPCA	True	2018	Present	True	False
JMLR																2018-01-01		{'prefix': 'jmlr', 'identifier': '19/17-473'}	Robust PCA by Manifold Optimization	emeryyi/morpca	True	2018	No License	False	
JMLR	dmbee	seglearn	Python	BSD-3-Clause	False	True	False	True	False	False	False	6.0	b93b670fd62d4ff22bd44d15023422f20789fd23	master	[]	2018-01-01	rst	{'prefix': 'jmlr', 'identifier': '19/18-160'}	Seglearn: A Python Package for Learning Sequences and Time Series	dmbee/seglearn	True	2018	Present	True	True
JMLR	rtavenar	tslearn	Python	BSD-2-Clause	False	True	True	True	False	False	False	7.0	5568c026db4b4380b99095827e0573a8f55a81f0	main	['conftest.py']	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-160'}	Seglearn: A Python Package for Learning Sequences and Time Series	rtavenar/tslearn	True	2018	Present	True	True
JMLR	pbiecek	DALEX	Python	GPL-3.0	False	False	True	True	False	False	False	-1.0	d58b2a36668f9c2dc1c0e47ab68a78c35860b4e7	master	[]	2018-01-01	markdown	{'prefix': 'jmlr', 'identifier': '19/18-416'}	DALEX: Explainers for Complex Predictive Models in R	pbiecek/DALEX	True	2018	Present	True	False
JMLR	inspirehep	magpie	Python	MIT	False	True	True	True	False	False	False	8.0	29dac813f3f1aed6820a667d08c7d5eb7b5051c7	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-100'}	scikit-multilearn: A Python library for Multi-Label Classification	inspirehep/magpie	True	2019	Present	True	True
JMLR	scikit-multilearn	scikit-multilearn	Python	BSD-2-Clause	False	True	True	True	False	False	False	7.0	2ea8c414d6e11ab2b5b5d03cceb3f56ce8fe4215	master	['utils.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-100'}	scikit-multilearn: A Python library for Multi-Label Classification	scikit-multilearn/scikit-multilearn	True	2019	Present	True	True
JMLR	dnouri	skorch	Jupyter Notebook	BSD-3-Clause	False	True	False	True	False	False	False	0.0	052ab09fb8b741892256880bd87f53e0f83975d4	master	['scripts/hf-integration-tests.py', 'Scripts/hf-integration-tests.py']	2019-01-01	rst	{'prefix': 'jmlr', 'identifier': '20/17-100'}	scikit-multilearn: A Python library for Multi-Label Classification	dnouri/skorch	True	2019	Present	True	False
JMLR	wangshusen	SparkKernelKMeans	Scala	MIT	False	False	False	True	False	False	True	-1.0	ee335687b484a9d7c655a0e434a2128c92090d9b	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-517'}	Scalable Kernel K-Means Clustering with Nystrom Approximation: Relative-Error Bounds	wangshusen/SparkKernelKMeans	True	2019	Present	True	False
JMLR	enriquegrodrigo	spark-crowd	HTML	MIT	False	False	True	True	False	False	True	-1.0	41f0a3ff3ac5e8adb1a520286b8976199e7b8c26	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-743'}	spark-crowd: A Spark Package for Learning from Crowdsourced Big Data	enriquegrodrigo/spark-crowd	True	2019	Present	True	False
JMLR	caesarcai	AccAltProj_for_RPCA	MATLAB	MIT	False	False	True	True	False	True	True	-1.0	4ee256f66aab1aeae21ca0201ad92d66975f6206	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-022'}	Accelerated Alternating Projections for Robust Principal Component Analysis	caesarcai/AccAltProj_for_RPCA	True	2019	Present	True	False
JMLR	khetan2	Schatten_norm_estimation	Matlab	GPL-3.0	False	False	False	True	False	True	True	-1.0	6b5e7acd4b99b40f2f6921da9dfb09ffedfc7eea	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-027'}	Spectrum Estimation from a Few Entries	khetan2/Schatten_norm_estimation	True	2019	Present	True	False
JMLR	albietz	ckn_kernel	Python		False	True	False	True	False	False	False	0.0	c59fe52e54dd9deeed9e73cba9ee990d47904722	master	['test_kernel_matrix.py', 'test_kernel_dist.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-190'}	Group Invariance, Stability to Deformations, and Complexity of Deep Convolutional Representations	albietz/ckn_kernel	True	2019	No License	False	False
JMLR	tensorly	tensorly	Python	Unknown	False	True	False	True	False	False	False	8.0	3912bb9914a86cddbf21327ee387a9401c94dfbf	main	[]	2019-01-01	rst	{'prefix': 'jmlr', 'identifier': '20/18-277'}	TensorLy: Tensor Learning in Python	tensorly/tensorly	True	2019	Unknown	False	True
JMLR	pytorch	examples	Python	BSD-3-Clause	False	False	False	True	False	False	False	-1.0	54e132ece5558f2b54f3f57f323bcdd71525436d	main	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-403'}	Pyro: Deep Universal Probabilistic Programming	pytorch/examples	True	2019	Present	True	False
JMLR	uber	pyro	Python	Apache-2.0	False	True	False	True	False	False	True	8.0	cbc2e528fba150d085a141cf41c791033ad61232	dev	['scripts/update_version.py', 'scripts/update_headers.py', 'Scripts/update_version.py', 'Scripts/update_headers.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-403'}	Pyro: Deep Universal Probabilistic Programming	uber/pyro	True	2019	Present	True	True
JMLR	jasonge27	picasso	R	GPL-3.0	False	False	True	True	False	False	False	-1.0	c1bdeb7550af8cccc3361cb4e3d77a095701e317	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-722'}	Picasso: A Sparse Learning Library for High Dimensional Data Analysis in R and Python	jasonge27/picasso	True	2019	Present	True	False
JMLR	PhilippPro	tunability	R		False	False	False	True	False	True	True	-1.0	9fc4fa84f500b1eec446ad50860901c315680a76	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-444'}	Tunability: Importance of Hyperparameters of Machine Learning Algorithms	PhilippPro/tunability	True	2019	No License	False	False
JMLR	LCAS	deep_rl_for_swarms	Python		False	True	True	True	False	False	False	0.0	da6b5735dca9ffe24330145f8b1318b22b3da06c	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-476'}	Deep Reinforcement Learning for Swarm Systems 	LCAS/deep_rl_for_swarms	True	2019	No License	False	False
JMLR	klkeys	proxdist	Julia		False	False	False	True	False	True	True	-1.0	7997e81a15c5918b445f114893d624b6d9442c9f	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-687'}	Proximal Distance Algorithms: Theory and Practice	klkeys/proxdist	True	2019	No License	False	False
JMLR	hsnamkoong	robustopt	Python		False	False	False	True	False	False	False	-1.0	b7a1cca684a6e078f72daeaa0f85d078b326ce23	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-750'}	Variance-based Regularization with Convex Objectives	hsnamkoong/robustopt	True	2019	No License	False	False
JMLR																2019-01-01		{'prefix': 'jmlr', 'identifier': '20/18-109'}	Semi-Analytic Resampling in Lasso	T-Obuchi/AMPR_	True	2019	No License	False	
JMLR																2019-01-01		{'prefix': 'jmlr', 'identifier': '20/18-262'}	 Fairness Constraints: A Flexible Approach for Fair Classification 	jmikko/fair	True	2019	No License	False	
JMLR																2019-01-01		{'prefix': 'jmlr', 'identifier': '20/18-456'}	Quantification Under Prior Probability Shift: the Ratio Estimator and its Extensions	afonsofvaz/ratio_	True	2019	No License	False	
JMLR	BorisMuzellec	TROT	Jupyter Notebook		False	False	False	True	False	False	False	-1.0	234c54af69b5bb11cea8c746198fd0fe6c3783ea	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-700'}	Learning to Match via Inverse Optimal Transport	BorisMuzellec/TROT	True	2019	No License	False	False
JMLR	deepmind	symplectic-gradient-adjustment	Jupyter Notebook	Apache-2.0	False	False	False	True	False	True	True	-1.0	6cc7497391467c8f002fd3afe74a718ef5bd4cf0	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/19-008'}	Differentiable Game Mechanics	deepmind/symplectic-gradient-adjustment	True	2019	Present	True	False
JMLR	waq1129	DRD	Matlab		False	False	False	True	False	True	True	-1.0	e4c32026f747b5fff3b63f9752118f615bda3eda	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-757'}	Dependent relevance determination for smooth and structured sparse regression	waq1129/DRD	True	2019	No License	False	False
JMLR	Hua-Zhou	SparseReg	HTML		False	False	False	True	False	True	True	-1.0	59a6de001f95f6a59a0f7fb54e0c48fe00b90e3a	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-757'}	Dependent relevance determination for smooth and structured sparse regression	Hua-Zhou/SparseReg	True	2019	No License	False	False
JMLR	scikit-learn	scikit-learn	Python	BSD-3-Clause	False	True	False	True	False	False	True	0.0	f44350d45750a63969411534ecd8c6e7be21010f	main	[]	2019-01-01	rst	{'prefix': 'jmlr', 'identifier': '20/18-153'}	A Particle-Based Variational Approach to Bayesian Non-negative Matrix Factorization	scikit-learn/scikit-learn	True	2019	Present	True	False
JMLR	dtak	Q-Transfer-Demo-public-	Python		False	False	False	True	False	False	False	-1.0	524ee3a1b5549343bcf42cf859c5bce73b44c632	master	['Q-Transform_Demo.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-153'}	A Particle-Based Variational Approach to Bayesian Non-negative Matrix Factorization	dtak/Q-Transfer-Demo-public-	True	2019	No License	False	False
JMLR	felipebravom	AffectiveTweets	Java	GPL-3.0	False	False	False	True	False	False	True	-1.0	a93f4b41314d211f84d011eb1abd86263a0f8dbc	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-450'}	AffectiveTweets: a Weka Package for Analyzing Affect in Tweets	felipebravom/AffectiveTweets	True	2019	Present	True	False
JMLR	albermax	innvestigate	Python	Unknown	False	True	True	True	False	False	False	10.0	10e4fc4eb51938630601acaa2f546dba97db7bfd	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-540'}	iNNvestigate Neural Networks!	albermax/innvestigate	True	2019	Unknown	False	True
JMLR	yzhao062	pyod	Python	BSD-2-Clause	False	True	False	True	False	False	False	8.0	3070497441cb959a8cfd837de984429d04944995	master	[]	2019-01-01	rst	{'prefix': 'jmlr', 'identifier': '20/19-011'}	PyOD: A Python Toolbox for Scalable Outlier Detection	yzhao062/pyod	True	2019	Present	True	True
JMLR	google-research	google-research	Jupyter Notebook	Apache-2.0	False	False	False	True	False	False	False	-1.0	187f0a6115d613b1b53ee1ad3966aecdae9a92c2	master	['__init__.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-789'}	Measuring the Effects of Data Parallelism on Neural Network Training	google-research/google-research	True	2019	Present	True	False
JMLR	SheffieldML	GPy	Python	BSD-3-Clause	False	True	True	True	False	False	False	0.0	acdd03d3eddaad68b9ef4c2990eee19d8b4eafc7	devel	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/16-437'}	Generic Inference in Latent Gaussian Process Models	SheffieldML/GPy	True	2019	Present	True	False
JMLR	Karl-Krauth	Sparse-GP	Python		False	False	False	True	False	False	False	-1.0	af098f1b3b801296a611d2b0ea1ab2a1ea652c04	master	['example.py', 'run_experiment.py', 'example_multimodal.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/16-437'}	Generic Inference in Latent Gaussian Process Models	Karl-Krauth/Sparse-GP	True	2019	No License	False	False
JMLR	dswah	pyGAM	Python	Apache-2.0	True	True	True	True	False	False	True	0.0	a6c14e48c34310567fdea1698735081b834b742d	master	['gen_imgs.py']	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-170'}	Binarsity: a penalization for one-hot encoded features in linear supervised learning	dswah/pyGAM	True	2019	Present	True	False
JMLR	husk214	s3fs	C++	MIT	False	False	False	True	False	True	True	-1.0	707976e060b789c6f01364f8161fdbedbad5c7c4	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/17-723'}	Scaling Up Sparse Support Vector Machines by Simultaneous Feature and Sample Reduction	husk214/s3fs	True	2019	Present	True	False
JMLR	dmitrip	PML	Jupyter Notebook	Apache-2.0	True	False	False	True	False	False	False	-1.0	b3c26f015070e7939985aa154ff3cacc91c83c37	master	[]	2019-01-01	markdown	{'prefix': 'jmlr', 'identifier': '20/18-075'}	Approximate Profile Maximum Likelihood	dmitrip/PML	True	2019	Present	True	False
